@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-3,5-6,9-19,21-37,39,41-49,51-59'

@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute p_livestock_demand_2007 numeric
@attribute p_livestock_production_2007 numeric
@attribute pctwdwet2011ws numeric
@attribute logchl_A {'\'(-inf-0.980205]\'','\'(0.980205-1.960411]\'','\'(1.960411-inf)\''}

@data
0.575879,0.557062,0.505545,0.557902,0.266403,0.148484,0.525427,'\'(0.980205-1.960411]\''
0.043678,0.529115,0.31482,-0.798112,-0.966664,-0.850623,0.352468,'\'(0.980205-1.960411]\''
0.443967,0.712094,0.417468,-1.320225,1.008371,0.9321,0,'\'(-inf-0.980205]\''
0.147857,0.612266,0.688631,-2.217515,-0.966664,-0.850623,0.002653,'\'(0.980205-1.960411]\''
0.038422,0.425554,0.303094,-0.610658,0.798485,0.720503,0.329957,'\'(0.980205-1.960411]\''
0.750347,0.441448,0.372571,0.462243,0.32231,0.141639,0.05842,'\'(0.980205-1.960411]\''
0.260833,0.411376,0.230959,-1.987961,-0.966664,-0.850623,0,'\'(-inf-0.980205]\''
0.647776,0.639218,0.573417,1.912129,0.010757,-0.207056,0.432137,'\'(1.960411-inf)\''
0.630008,0.50615,0.161482,0.176345,1.113467,0.976131,0.614723,'\'(-inf-0.980205]\''
0.890688,0.259981,0,0.112375,-0.966664,-0.850623,0.480568,'\'(-inf-0.980205]\''
0.93873,0.344371,0,-0.179581,-0.966664,-0.850623,0.345993,'\'(-inf-0.980205]\''
0.459183,0.570036,0.508073,0.081347,-0.966664,-0.850623,0.35515,'\'(0.980205-1.960411]\''
0.216463,0.443403,0.404168,-2.012052,-0.385596,-0.462886,0.024257,'\'(0.980205-1.960411]\''
0.688704,0.490279,0.089347,1.912129,1.51286,1.478271,0.661393,'\'(-inf-0.980205]\''
