@relation 'AT: bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R60-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R12-28-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I-weka.filters.unsupervised.attribute.RenameNominalValues-R12-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute '-0.213total input-0.213nani-0.211p_accumulated_ag_inputs_2007-0.211n_livestock_food_demand_2007-0.209n_livestock.waste_2007...' numeric
@attribute -0.241n_human_waste_2007-0.239human_n_demand_2007-0.239p_human_waste_kg_2007-0.237p_human_food_demand_kg_2007-0.227n_fert_urban_2007... numeric
@attribute 0.307lst+0.271lst_yrmean-0.247npp-0.216omws-0.191lat_dd... numeric
@attribute -0.252lat_dd+0.224atmo_pdep_2002+0.215atmo_pdep_2007-0.211p_human_food_demand_kg_2007-0.207p_human_nonfood_demand_kg_2007... numeric
@attribute '0.41 wetlands+0.349pctwdwet2011ws+0.314pcthbwet2011ws-0.29depth+0.225ntl...' numeric
@attribute 0.284ntl-0.254depth+0.249ptl-0.223napi+0.218n_rock_2007... numeric
@attribute '0.536wsarea_km2+0.51 lake_area_ha+0.237depth-0.21runoffws-0.208npp_yrmean...' numeric
@attribute 0.368lake_area_ha+0.346wsarea_km2-0.292sandws-0.255atmo_pdep_2007+0.255npp... numeric
@attribute -0.469fire_yrmean-0.42fire-0.339p_f_fertilizer_2007-0.246p2o5ws+0.208wsarea_km2... numeric
@attribute '0.328napi+0.321precip-0.265n_cbnf_2007+0.25 ptl-0.246bfiws...' numeric
@attribute 0.524n_rock_2007+0.499damdensws+0.257fire-0.24omws+0.196fire_yrmean... numeric
@attribute logchl_A {low,medium,high}

@data
-5.320507,-0.69802,-3.912586,-0.256241,0.052508,-0.516754,1.154152,-1.338922,-1.244983,-2.153564,-0.083199,low
3.296645,2.114659,1.853102,-1.233262,3.171875,0.788722,0.762466,-1.986292,0.251735,0.229787,0.470605,high
-5.049724,-0.015149,-1.125216,1.452186,-0.001104,-2.161048,-1.100425,-0.22346,-0.253304,1.628648,0.737998,medium
-3.255407,1.383056,-0.029539,2.178779,2.00316,1.124145,1.192055,-0.875272,-2.214792,-2.094585,0.065017,medium
6.409468,1.123424,0.376634,0.328755,-2.048078,-1.511861,-1.885995,3.031967,-4.919332,-0.022516,2.711982,low
4.311962,-2.839519,-3.671682,1.065934,1.484142,0.045401,0.070724,-0.432179,0.122973,0.681976,-1.035651,low
-0.183674,-1.597065,-2.899623,0.053044,-0.164857,-1.373457,-0.39338,0.107497,0.019199,1.404302,-0.853834,low
-7.430355,0.462071,0.656832,0.467026,-1.362787,-1.312181,-0.797107,0.039714,-0.463913,2.604121,-0.353949,high
3.527281,2.916962,5.24859,1.451955,0.5483,-2.069586,1.098121,-1.795268,-0.479956,-1.534509,-1.797541,low
-2.074387,4.257205,-1.187328,-1.931382,-0.486365,1.300178,0.777773,-0.31468,-1.2584,1.866533,0.700307,medium
5.538098,1.289544,0.154228,-1.693757,-1.902787,-2.515351,-1.067029,0.476554,0.304183,-0.915152,-2.026189,low
-2.129886,-2.518073,-2.669283,2.111435,-1.954445,0.267805,0.673438,-0.37277,-0.363673,0.07145,-0.291529,low
5.532824,-0.589773,-2.215344,0.81051,-2.856413,0.317907,1.26005,-1.386116,-0.679465,-0.013872,1.783589,low
-2.966883,-7.976149,2.961574,-3.181246,2.865988,-1.428892,0.358057,-0.599851,-0.590661,1.052114,0.320042,low
-3.071934,0.378463,0.097784,2.08627,1.759822,2.151487,0.551395,1.548475,-1.944496,-0.703783,-0.77405,high
-4.354486,1.202519,1.971451,1.314754,0.129604,-0.933444,-0.055924,-0.62388,0.346572,2.014547,0.002137,medium
3.221132,4.438514,5.299225,-2.644181,1.435613,-1.493027,-0.418548,-0.536499,0.170592,-1.795976,-0.768119,low
-4.794937,1.884769,-0.947517,1.257717,-1.765378,0.095883,0.37465,0.818425,-1.412713,-0.853644,-1.052439,medium
0.870313,-6.172918,-0.338435,0.148043,0.922031,1.915166,0.088018,-0.349663,0.606147,0.269966,1.253784,medium
-0.830391,4.25009,-1.303298,-3.47218,1.801279,2.478609,1.12671,-1.024011,-0.440745,0.864161,2.195288,medium
6.094003,-0.124308,-2.282423,-0.191347,-1.917575,-0.362605,1.012323,-1.069941,-0.869918,-0.639039,1.758496,low
-4.427498,1.278069,-0.071711,1.406183,0.378264,1.513538,0.29593,1.758494,-3.007594,-1.073673,-0.016389,medium
4.018385,-3.268548,-0.284734,-1.731081,-0.521548,-0.11197,-1.29487,0.967936,1.078633,0.28647,0.232113,medium
-2.104918,4.096737,-1.207755,-1.744372,-1.374125,0.741606,0.384364,-0.963423,0.036926,1.669734,0.059634,low
4.639355,2.515292,5.087306,-0.904493,1.406199,-1.802501,-1.496658,1.973651,-3.965344,-1.634548,0.354584,medium
-2.897729,-2.461759,0.500236,-3.669698,-2.973645,-2.417293,-1.742443,2.105009,-0.401649,1.051623,-1.354267,medium
-1.308298,-2.735038,0.177654,1.359341,-0.701398,-2.473807,-0.783579,0.790065,-1.85114,0.386678,0.121361,medium
6.695606,1.551979,-0.268978,-0.99332,-2.217685,0.090287,0.184953,-0.918188,0.601965,0.158521,1.446602,low
-5.728566,-3.264558,0.135254,-1.836924,-1.004474,3.102836,1.591036,0.604929,-2.136775,-0.828156,-0.252544,high
-4.32327,-0.629602,-3.249244,-2.396443,-0.106234,-0.10927,0.894419,-0.592738,-0.665715,-1.770339,-0.046148,low
3.164581,-3.758946,-2.599577,2.733318,-0.515974,0.422984,0.369131,-0.265458,-0.040771,-0.414378,0.18985,low
4.679552,-3.028401,-3.787516,0.58773,-0.31655,-0.451791,0.457152,-0.413205,-0.165232,0.320447,-0.513106,low
2.388723,-1.185127,1.563153,1.17716,3.236803,0.778389,0.698986,-0.142105,-2.39971,0.426037,1.797085,medium
3.396956,2.77116,1.698057,-0.300884,-0.674946,-0.974524,0.508931,-1.062582,0.088776,0.023498,-0.45042,medium
-6.379716,-1.017621,-3.793958,-1.256584,-0.326582,-0.791628,0.597648,-1.452825,-0.720448,-2.53332,0.85098,low
-0.194686,1.353389,-2.58986,-2.398304,-0.118182,-0.526839,0.867011,-0.894377,-1.143904,-0.164484,-0.882366,low
-4.288097,-1.890986,-1.95764,1.278364,-2.271535,0.19318,1.05046,-0.577945,-1.089399,-0.610779,-0.474574,low
-5.839869,2.641944,-1.329973,1.902048,-2.21938,1.478758,0.599896,0.539601,-1.353143,-0.164446,-1.160292,medium
-0.944417,-1.586347,-4.45412,-0.93227,-1.719691,-2.508604,-0.647704,-0.762147,0.969459,2.071393,-0.812708,low
-4.111599,-1.787283,-2.714012,-3.908673,-0.411657,-1.617472,0.59163,-1.562975,0.171175,-1.334081,0.114599,low
2.925965,1.426176,-0.081215,0.116746,-0.984742,-1.229511,1.148589,-0.40617,-0.454209,-1.101867,0.404931,low
-2.405681,2.891226,0.738071,0.373201,-0.626037,-1.71736,4.848967,1.991628,0.852286,0.824688,0.361149,low
4.497486,1.077803,1.770129,-0.223988,2.362112,0.434235,0.673415,-2.195484,0.535484,-0.233094,0.715881,medium
-3.262851,4.6492,-1.33002,-2.393317,-1.664957,2.725702,0.705892,0.3193,-1.093028,1.607917,0.555129,high
4.136725,0.629506,2.227475,1.535109,0.055465,-0.447923,0.488684,-0.972708,-0.161518,-0.140231,-0.601406,low
4.720512,3.577494,1.987611,-1.215069,-0.427091,0.725387,0.108145,0.290659,-0.072219,1.71297,-1.227341,high
6.418698,1.06103,-0.049134,-0.187799,-2.419341,-1.654182,-0.045135,-0.419712,-0.209327,-0.957084,-0.673759,low
2.914607,1.544751,4.92064,2.291778,0.995338,-0.127404,1.608333,-2.006897,-0.706697,0.511723,-1.131657,medium
4.35772,1.251533,2.362561,0.919158,-0.711306,0.868878,1.398341,-2.016443,0.068876,0.726895,0.916129,low
1.818783,-6.118487,-1.016042,-0.048199,-1.237801,0.449231,0.669717,-0.57283,0.171761,0.040966,-0.628034,low
6.938811,0.723559,-1.125623,-0.938366,-2.62107,-1.54054,0.082172,-0.792709,0.234228,-0.300887,-0.244403,low
-5.625883,1.25514,-3.334863,0.591059,-1.162694,0.991992,1.172519,-0.832281,-1.437959,-1.791761,-0.271324,medium
-5.966557,3.429627,-0.536555,0.866644,-1.817435,0.863211,-0.549771,0.882847,-0.42397,0.992358,-0.148996,medium
-7.559811,-0.605537,-1.801292,-1.026499,0.531719,-0.371825,-0.174873,-0.506138,-0.172298,-0.306541,0.141573,high
5.392132,-1.678123,-3.957141,-1.285892,1.896863,-0.585489,0.662684,-0.703901,-0.821268,-0.546797,-1.300056,low
-2.233213,3.307437,2.823704,2.769889,-0.355693,-0.558042,0.758662,-0.432885,-0.775139,0.846906,-1.684755,medium
-2.21487,-1.592273,-0.850847,3.107604,-2.315535,1.928053,0.300826,0.079686,-0.094324,-1.026815,1.897392,low
-3.356735,-0.673332,-3.406612,0.739038,-0.865307,-0.649587,-0.005303,-0.562298,0.243872,0.072955,0.617227,low
0.42892,-2.03117,-3.721419,-1.746507,0.16272,-0.597526,0.213258,0.887573,-0.625285,1.023561,-1.161092,low
-1.836287,0.774279,0.864619,2.731705,-0.576439,-1.319124,0.271421,-1.360761,0.156277,0.237275,-0.250383,low
-4.455238,0.520589,0.092794,1.849282,-0.067739,-2.170557,-0.32903,-1.43302,0.116728,0.956098,-0.057438,medium
-4.94044,-4.288649,1.009864,-3.814032,-2.065577,2.090284,1.181355,0.6747,-1.65546,0.245302,-0.91632,medium
4.809641,-1.504248,-3.443702,-0.373304,1.313227,0.421101,0.816775,-0.590257,-0.804422,0.025589,-0.907401,low
-5.112641,-6.012376,1.694578,-2.972663,2.897917,-2.26855,0.462105,-1.064123,-0.450745,1.348322,-0.790267,medium
0.926225,-3.645984,-3.075375,-0.783246,1.345675,-0.507452,-0.171092,-0.361196,0.389403,0.244369,-1.150967,low
-5.748533,3.471933,-1.651193,-3.513224,0.160979,1.733173,0.079683,0.066649,-1.013525,0.999587,0.563255,high
-4.750533,1.948437,-0.524472,1.814055,-1.761573,0.320961,0.172492,-0.001211,-0.479783,1.271989,0.058122,medium
4.972521,1.600207,1.451147,0.567645,-1.239428,0.699091,1.263461,-1.536065,-0.370129,-0.108292,0.356224,medium
1.372473,-2.000132,-2.616278,0.068399,0.673954,0.282263,0.327084,-0.915373,0.274093,-0.709964,0.312517,low
-5.141881,5.734621,5.890877,-2.673441,1.869646,-5.35708,1.019392,-5.580253,-0.073638,0.035988,0.743258,medium
-3.099612,1.485918,-1.824058,-4.091209,-0.882794,-1.018727,0.551835,-1.277115,-0.669629,-0.106933,-0.490258,low
-6.987859,-1.62985,0.017596,-0.609735,-3.299126,1.051282,0.758678,-0.378792,-1.100249,-0.747861,-0.182718,medium
-3.904273,1.453238,0.56932,1.748684,0.45635,1.475862,0.06616,2.276911,-4.297885,-0.766676,0.026478,medium
4.346971,-2.299433,-2.607886,2.299671,-1.435518,0.490961,0.227256,-0.695202,0.583126,0.187751,-0.008482,low
-3.394428,5.472743,1.219457,-0.960371,-0.476694,0.345314,-0.194735,0.797412,-1.146675,1.747107,-0.302133,medium
-1.329391,1.690035,2.432746,2.91262,-0.053264,-0.05351,0.623083,-0.54987,-0.514049,0.473062,-1.255083,medium
6.722928,0.973379,-0.597875,-1.38554,-1.952731,-1.42727,-0.003655,-0.691162,0.14765,0.016901,-0.835561,low
-2.934461,1.160554,-2.206246,-2.719455,0.052272,-0.288988,0.650913,-1.162899,-0.333799,-0.592014,0.323015,medium
-6.139902,-4.807446,4.130438,-3.044645,-4.007904,2.453776,0.274551,1.766377,-1.415529,1.035894,-0.571282,medium
0.235681,-7.724802,0.054995,-0.989735,-0.28598,0.92213,0.403531,0.328982,-1.098134,0.425305,0.598272,low
-3.129828,-1.065916,-1.324719,2.312722,-1.9257,1.005069,-0.047708,0.206803,0.006927,0.755787,-0.382189,medium
4.924296,-0.509844,-2.379787,-0.091101,0.263136,0.778532,0.717727,-0.173657,-0.920606,0.254869,-1.143012,low
2.995175,-3.373714,-1.801956,4.12219,-1.39973,-1.567403,0.351392,-0.867246,-0.02329,-0.383538,-1.273103,low
6.018329,-0.425884,-2.799586,-0.024339,-2.546875,-0.819263,-1.376146,0.827827,0.910528,0.096085,0.487414,low
-3.427281,3.955232,-1.472167,-2.979724,-0.52344,2.595554,0.974356,0.288135,-1.633499,1.42944,1.312452,medium
-6.696558,2.396412,-1.211061,2.307833,-2.196525,1.69354,0.395883,0.896356,-1.581909,-0.352899,-0.666294,medium
5.809892,-0.677068,-1.284559,1.032303,-2.21813,-1.461381,-0.55946,-0.012504,0.380379,-0.724365,-0.16513,low
-4.535396,-0.730437,0.51392,3.62112,-1.108624,-4.025484,1.064988,-3.75438,-0.259539,-0.581983,-0.070081,low
-5.239838,2.906513,0.719089,0.78281,-0.681392,-1.074131,-0.106179,-1.335012,0.408194,1.433235,0.17582,medium
