@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-2,5-6,9-19,21-30,32,34-38,40-43,45-51,53-59-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-0.980205]\':low, \'(0.980205-1.960411]\':medium, \'(1.960411-inf)\':high-I'

@attribute lat_dd numeric
@attribute lon_dd numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute atmo_pdep_2002 numeric
@attribute n_human_waste_2007 numeric
@attribute n_livestock.waste_2007 numeric
@attribute p_livestock_waste_2007 numeric
@attribute p_human_waste_kg_2007 numeric
@attribute runoffws numeric
@attribute logchl_A {low,medium,high}

@data
0.648334,0.872376,0.603603,0.524501,0.83824,0.355722,-1.10481,-0.920603,1.322268,0.752248,medium
0.964737,0.423807,0.732973,0.544842,-1.438718,0,0.476866,0.269639,-0.591376,0.298826,medium
0.607263,0.303002,0.306777,0.118111,-0.57202,0,-1.10481,-0.920603,-0.591376,0.662521,low
0.351295,0.575879,0.557062,0.505545,0.557902,0.11137,0.195172,0.158609,-0.226216,0.754782,medium
0.966845,0.043678,0.529115,0.31482,-0.798112,0.236923,-1.10481,-0.920603,0.43352,0.958629,medium
0.867564,0.443967,0.712094,0.417468,-1.320225,0.003622,0.98056,0.966501,-0.582212,0.341639,low
0.758885,0.147857,0.612266,0.688631,-2.217515,0.086272,-1.10481,-0.920603,-0.324891,0.714828,medium
0.852972,0.038422,0.425554,0.303094,-0.610658,0.390393,0.793557,0.719279,1.487349,0.92008,medium
0.423442,0.750347,0.441448,0.372571,0.462243,0.23355,0.090695,0.251188,0.413862,0.798532,medium
0.73577,0.260833,0.411376,0.230959,-1.987961,0,-1.10481,-0.920603,-0.591376,0.654099,low
0.667639,0.647776,0.639218,0.573417,1.912129,0.379914,0.129331,-0.031156,1.526055,0.722045,high
0.743134,0.630008,0.50615,0.161482,0.176345,0.272458,1.246683,1.121422,0.68687,0.667087,low
0.696101,0.890688,0.259981,0,0.112375,0.080173,-1.10481,-0.920603,-0.347197,0.792872,low
0.804559,0.93873,0.344371,0,-0.179581,0.032825,-1.10481,-0.920603,-0.502289,0.802086,low
0.505564,0.459183,0.570036,0.508073,0.081347,0.111868,-1.10481,-0.920603,-0.224293,0.579785,medium
0.530861,0.216463,0.443403,0.404168,-2.012052,0.004602,-0.273937,-0.445379,-0.579747,0.418167,medium
0.679889,0.688704,0.490279,0.089347,1.912129,0.250196,1.415991,1.568541,0.520584,0.721577,low
0.907656,0.503309,0.483989,0.241277,-0.982332,0.103135,0.246041,0.359583,-0.259837,0.543458,low
0.657426,0.757396,0.444688,0.161482,1.604788,0.256972,0.705999,0.650653,0.565993,0.731156,low
0.564795,0.617966,0.58788,0.500337,0.732795,0.077952,0.971698,0.950618,-0.355343,0.698903,medium
0.813789,0.912422,0.380067,0.207458,-0.179581,0.204918,1.386565,1.222759,-0.278598,0.784102,low
0.796548,0.617149,0.494416,0.141612,0.142152,0.330566,1.446325,1.328159,1.110765,0.691994,low
0.41878,0.319203,0.418896,0.335489,-0.130686,0.033351,-0.430241,-0.557961,-0.500854,0.577043,low
0.440441,0.492169,0.579601,0.652572,-0.19198,0.070707,0.686965,0.568426,-0.380915,0.473117,low
0.701265,0.397421,0.443726,0.602331,-1.346878,0,-1.10481,-0.920603,-0.591376,0.538009,medium
0.921765,0.440697,0.753601,0.712492,-1.032071,0.01742,0.760584,0.59427,-0.54527,0.361615,high
0.352761,0.266877,0.513216,0.296805,2.577683,0.066795,-1.10481,-0.920603,-0.394575,0.298826,low
0.989832,0.268003,0.595417,0.470573,-2.238367,0,-0.749142,-0.750154,-0.591376,0.361663,high
0.966247,0.174708,0.318461,0.141612,-1.704039,0,-1.10481,-0.920603,-0.591376,0.797012,low
0.23266,0.23587,0.650218,0.376103,-0.929118,0.08957,-1.10481,-0.920603,-0.331402,0.298412,medium
0.442439,0.270581,0.478261,0.431805,-1.540286,0.066,-1.10481,-0.920603,-0.397261,0.128428,low
0.689918,0.898379,0.358538,0.118111,-0.075353,0.305717,-1.10481,-0.920603,0.919787,0.798272,low
0.527088,0.091748,0.288532,0.089347,-1.254486,0.002977,-1.10481,-0.920603,-0.583893,0.677753,low
0.659025,0.673795,0.532324,0.365203,1.912129,0.103481,0.830461,0.955588,-0.258198,0.716557,medium
0.592135,0.508113,0.578095,0.575659,-0.047426,0.055201,1.350653,1.370425,-0.433765,0.661282,medium
0.582406,0.852267,0.559221,0.46545,1.008143,0.287832,1.674053,1.791539,0.78686,0.766379,high
0.869613,0.611008,0.427438,0.178694,-0.577763,0,-1.10481,-0.920603,-0.591376,0.699849,low
0.319667,0.439528,0.550195,0.458287,-0.147088,0.009502,0.570581,0.39443,-0.567084,0.336801,medium
0.579455,0.670834,0.444368,0.275856,1.295218,0.148217,-0.2865,-0.320226,-0.062265,0.729206,low
0.679157,0.832205,0.39609,0.241277,0.233998,0.119633,1.290321,1.180247,-0.190471,0.758732,low
0.819502,0.964713,0.451796,0.275856,-0.533595,0.126684,0.086169,-0.195269,-0.160398,0.79461,low
0.371995,0.469218,0.49049,0.309091,0.624117,0.042083,0.674257,0.489671,-0.474782,0.614099,low
0.486315,0.80113,0.515752,0.36894,0.404895,0.113301,1.020709,1.552986,-0.214345,0.715652,medium
0.711444,0.635674,0.607948,0.522278,0.176345,0.491909,0.352046,0.096704,2.575805,0.691009,medium
0.864511,0.581296,0.514913,0.275856,-0.017649,0,-1.10481,-0.920603,-0.591376,0.706192,low
0.088703,0.72981,0.56932,0.353296,-0.299107,0.485911,0.824772,0.624681,2.507098,0.715474,medium
