,LAT_DD,LON_DD,WSAREA_km2,lake_AREA_HA,NTL,PTL,SNOW_YrMean,FIRE,FIRE_YrMean,LST,LST_YrMean,NPP,NPP_YrMean,Precip,Precip_YrMean,Tmean,Tmean_YrMean,Atmo_Pdep_2002,Atmo_Pdep_2007,Tot_Ndep_2000,Tot_Ndep_2007,Tot_Sdep_2000,Tot_Sdep_2007,N_CBNF_2007,N_Crop_N_Rem_2007,N_Fert_Farm_2007,N_Fert_Urban_2007,Human_N_Demand_2007,N_Human_Waste_2007,N_Livestock_Food_Demand_2007,N_Livestock.Waste_2007,N_Livestock_N_Content_2007,N_Rock_2007,nani,P_Crop_removal_2007,P_f_fertilizer_2007,P_livestock_demand_2007,P_livestock_Waste_2007,P_livestock_production_2007,P_nf_fertilizer_2007,P_human_food_demand_kg_2007,P_human_nonfood_demand_kg_2007,P_human_waste_kg_2007,P_Accumulated_ag_inputs_2007,NAPI,Total Input',Legacy,DamDensWs,PctWdWet2011Ws,PctHbWet2011Ws,wetlands,RunoffWs,ClayWs,SandWs,OmWs,BFIWs,AgKffactWs,P2O5Ws,Depth,logchl_A,lat_dd,lon_dd,wsarea_km2,lake_area_ha,ntl,ptl,snow_yrmean,fire,fire_yrmean,lst,lst_yrmean,npp,npp_yrmean,precip,precip_yrmean,tmean,tmean_yrmean,atmo_pdep_2002,atmo_pdep_2007,tot_ndep_2000,tot_ndep_2007,tot_sdep_2000,tot_sdep_2007,n_cbnf_2007,n_crop_n_rem_2007,n_fert_farm_2007,n_fert_urban_2007,human_n_demand_2007,n_human_waste_2007,n_livestock_food_demand_2007,n_livestock.waste_2007,n_livestock_n_content_2007,n_rock_2007,p_crop_removal_2007,p_f_fertilizer_2007,p_livestock_demand_2007,p_livestock_waste_2007,p_livestock_production_2007,p_nf_fertilizer_2007,p_human_food_demand_kg_2007,p_human_nonfood_demand_kg_2007,p_human_waste_kg_2007,p_accumulated_ag_inputs_2007,napi,total input',legacy,damdensws,pctwdwet2011ws,pcthbwet2011ws,runoffws,clayws,sandws,omws,bfiws,agkffactws,p2o5ws,depth
0,48.979029,-114.02184,3.75772,66.293055,2.181844,0.845098,1.758232,0.041393,0.041393,1.397301,0.599057,0.601632,0.328397,1.11694,2.043798,1.272248,0.551069,0.636428,0.974467,0.726465,0.743232,0.58237,0.478139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272186,0.13071310655267648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.986324,1.137024,1.520521,0.318833,1.839209,0.0,0.044932,0.919078,0.093422,0.9997002557142981,0.18476562726507162,-0.09710098488483651,-0.12557804767125705,0.3549832825483258,0.16148207772965578,0.919392757939828,-0.1562547759875242,-0.31624115842780404,-0.8002206321944145,-3.5774764150983285,0.8989494667876877,0.472942547813472,0.41811692779477705,0.9230930895073564,-0.6462032273126664,-2.2174681422050413,-1.7040387058620947,0.15344942874762088,0.36040258181282736,0.42878217097432875,0.28755315846001384,0.24425422686634252,-0.8673031115955278,-1.0860364618508833,-1.0550574333119824,0.0,0.0,0.0,0.0,-1.104809537228404,-0.9611005299116214,0.21554476630805874,-0.8771139858665329,0.0,-0.966663507867882,-0.920602935797068,-0.8506230455469157,-0.4296904683126293,-0.5523441956158429,-0.5052730143328671,-0.5913755086488869,-1.2979344047191217,-0.8381044684863334,-1.9222097988222828,-1.1767530602892151,-0.3416808223563633,0.0,-0.7718548614906705,0.8385938109386614,0.50010536977499,0.662276752607206,0.16639702337122328,0.9015525569476388,0.0,-0.6564439256611693,0.6425257769926863
1,33.036064,-79.98379,2.290436,14.437998,2.842609,1.568202,0.0,0.68686,0.472641,1.481318,1.370309,0.454755,0.561161,1.976946,1.982853,1.425636,1.291077,0.913512,0.973483,1.063884,0.952029,1.094592,0.989887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48006,0.13359665371759835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881374,0.0,0.0,1.407038,1.124358,0.7938278858904422,2.523746,1.54108,1.657351,0.350248,1.812913,0.0,0.054996,0.255273,1.125806,0.303993070404343,0.777475756131362,-0.09715263336066066,-0.13210617841829322,0.5220857249577733,0.3761029272091786,0.0,10.15402952855694,10.413908718440863,0.16674890183461027,0.9115933818506683,0.8446684681861321,0.7678549029793543,0.7400528120903301,0.6617942619800807,0.9867083500829087,1.301101880064237,-0.11277977647193611,0.1463708889151676,0.6894374444772746,0.6567737849553947,0.6195627021901189,0.5673205246857075,-0.8673031115955278,-1.0860364618508833,-1.0550574333119824,0.0,0.0,0.0,0.0,-1.104809537228404,-0.9611005299116214,0.39798544153708165,-0.8771139858665329,0.0,-0.966663507867882,-0.920602935797068,-0.8506230455469157,-0.4296904683126293,-0.5523441956158429,-0.5052730143328671,-0.5913755086488869,-1.2979344047191217,-0.8381044684863334,-0.9841149146316525,-1.1767530602892151,-0.3416808223563633,0.7423294693147118,2.820445428447098,0.7076730141461187,0.7947440535351379,0.7647746663929994,0.18471236202279695,0.8780569092179494,0.0,-0.34782968879494314,0.42027747682113
2,28.047742,-97.859866,4.83738,5.701737,2.868644,1.643453,0.0,0.041393,0.041393,1.481318,1.449563,0.269568,0.300067,1.98592,1.915475,1.473706,1.352705,0.779519,0.816901,0.965261,0.927573,0.659774,0.625483,0.071736,1.261869,1.399322,0.091444,0.247378,0.197714,1.190161,1.104217,0.577702,0.410926,0.5239348811429092,0.641386,0.51395,0.806242,0.640927,0.48093,0.012242,0.033102,0.026073,0.051195,2.628388,1.621122,2.596129,6.260528,0.0,0.407549,0.029419,0.21093053579657156,1.431364,1.594667,1.497588,0.138466,1.041393,0.067992,0.066375,0.389166,1.20167,0.0863164049886107,0.4661967225326805,-0.09706298079468881,-0.13320600276229566,0.5286697784232717,0.39843779680495406,0.0,-0.1562547759875242,-0.31624115842780404,0.16674890183461027,1.3728910351305244,0.7762293300771953,0.43704839312524946,0.7434121521712926,0.37291424883490376,1.4984436848249059,1.5941290275172526,-0.882284900281956,-0.9800233428381,0.5932650141738364,0.6300695559122526,0.3377245035464901,0.3372724322836505,-0.7522023558780844,0.6142182015986577,0.9250003766117166,0.05443970161871253,0.08568696122649244,0.07155992855371954,0.45952126677894456,0.9458703599189836,0.6486361658053328,0.3373099667721603,0.6825036017210767,0.3317679335108529,0.8965344977669093,0.8184456733719201,0.8487713023585127,-0.3207337770580524,-0.3895249975476429,-0.3453439288592017,-0.37784518933058214,0.9171912857197871,0.6137058949404133,0.8409932609445552,1.1405577667212878,-0.3416808223563633,0.21501596466459433,-0.6778617718967163,0.3985024054231977,0.8338198329980218,0.6450978835225782,0.06124080224856272,0.18869875069916883,0.44898174806518926,0.0011092421769156148,0.46510614134590783
3,37.41662,-108.404583,4.702662,65.386309,2.537819,1.278754,1.411673,0.041393,0.041393,1.564924,1.261617,0.443355,0.323858,1.754559,1.610272,1.343581,0.961861,0.612032,0.964888,0.753447,0.798283,0.491189,0.466287,0.385231,0.44233,0.223292,0.0,0.0,0.0,0.188082,0.16272,0.036417,0.514406,0.20548497820093534,0.081493,0.01591,0.077638,0.050032,0.03086,0.0,0.0,0.0,0.0,1.041641,0.0,0.989729,0.0,0.084725,0.41326,0.055268,0.21905240049017932,1.758885,1.600628,1.253155,0.248648,1.756437,0.001657,0.133515,0.788875,1.027757,0.49514849756940515,0.2825798416617562,-0.09706772287554437,-0.12569219963221917,0.44500665233441167,0.2901933268748575,0.7381744461363408,-0.1562547759875242,-0.31624115842780404,1.1289881493920177,0.27895194381228344,0.840455396132252,0.46719162765357647,0.6568041423126365,-0.9356292913703201,0.11318135003600788,-0.2642454519259617,-1.8441418978233854,0.08454156995181705,0.3867141370732368,0.4888939845601161,0.22845190508383173,0.23677206423599495,-0.2491981262912678,-0.49003668272671475,-0.7390965118846894,0.0,0.0,0.0,0.072618476742489,-0.8026165508282463,-0.859626445958434,0.4281292182066797,-0.6789526351895973,0.010270313886871621,-0.7872447145508954,-0.7848494412275728,-0.7415774264830987,-0.4296904683126293,-0.5523441956158429,-0.5052730143328671,-0.5913755086488869,-0.42007096168313335,-0.8381044684863334,-0.8687867211786169,-1.1767530602892151,0.9379360610236581,0.21802899174649001,-0.5952747576231474,0.49119879454306586,0.8381666096673306,0.46199569423365905,0.12547828890486343,0.8275952343935682,0.01094191605694815,2.0599685290607006,0.5989325599677511
4,43.929209,-114.840386,87.076383,19.487613,1.934498,0.69897,1.774498,0.041393,0.041393,1.496843,0.88349,0.399646,0.264367,1.464549,1.899984,1.279165,0.685092,0.496037,0.790429,0.773849,0.76752,0.423297,0.370304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303291,0.12922244403866964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.881374,0.0,0.0,0.370127,0.249383,0.24863520477462017,2.520929,1.100962,1.696245,0.408507,1.88064,0.0,0.053863,0.812913,0.256477,0.7793399865597264,0.1705121519589661,-0.09416816345990722,-0.13147047287963776,0.29243136057877966,0.11811056340703592,0.9278983718751045,-0.1562547759875242,-0.31624115842780404,0.34542943096324635,-1.9219350491691716,0.8243019604828624,0.3918164368114639,0.5482413813498602,0.3064973132827653,-0.5725674188997182,-1.580219206930564,-2.51028674745242,-1.1704533290623942,0.4066091911990568,0.45530295585328834,0.18444600150506257,0.17617803658254813,-0.8673031115955278,-1.0860364618508833,-1.0550574333119824,0.0,0.0,0.0,0.0,-1.104809537228404,-0.9611005299116214,0.24284407840576583,-0.8771139858665329,0.0,-0.966663507867882,-0.920602935797068,-0.8506230455469157,-0.4296904683126293,-0.5523441956158429,-0.5052730143328671,-0.5913755086488869,-1.2979344047191217,-0.8381044684863334,-0.9841149146316525,-1.1767530602892151,-0.3416808223563633,0.19527274991083846,0.024918606751251085,0.7068757348017387,0.47380886579099163,0.7939097526955985,0.2186780890481679,0.9385714260185527,0.0,-0.3825733225756898,0.6069807136266175
5,41.683146,-73.146518,23.083423,56.199748,2.267172,0.90309,1.07467,0.041393,0.041393,1.391671,1.134117,0.587499,0.485867,2.276588,2.030499,1.33264,1.010477,0.920029,0.923561,1.201288,1.084356,1.179726,1.088062,0.379621,1.0407,0.904048,0.396446,0.875354,0.769845,0.943425,0.851665,0.426828,0.490031,0.46855751857779404,0.41474,0.21317,0.518658,0.400515,0.251937,0.110452,0.222944,0.183019,0.313819,2.463276,1.458978,1.948589,5.506302,0.05304,0.526037,0.126792,0.2856431389988349,2.824776,0.875792,1.677885,0.663045,1.684412,0.016974,0.061762,1.390051,0.667453,0.6813279688604569,0.8965342911594814,-0.09642071909840377,-0.12684871309094747,0.37656208470327246,0.17869439062381276,0.561953038720257,-0.1562547759875242,-0.31624115842780404,-0.8650175004066004,-0.463161398015027,0.8937263661440485,0.6724572862093213,0.8522212298014716,0.8660742510909935,-0.0032924651795551894,-0.03308741011743582,-0.07535345650096825,-0.21274990937318386,0.823427250236718,0.8012655463469498,0.6747444407642503,0.6292983610200287,-0.25819939817114484,0.3162129223973527,0.22418158597442936,0.23601769331975975,0.3032057186065659,0.27863506477759903,0.3642564754776251,0.4768472336816888,0.2282335806842845,0.40673649252329724,0.13138292282197167,0.1376067134672799,0.23193759602713895,0.1661277740986257,0.039611112913255114,0.5533584176905184,0.5442530883584423,0.6173466034443268,0.7175388634216487,0.7780398997753416,0.46849637982220127,0.1517807798538935,0.861383857457912,0.4593918184754613,0.27752823097166035,-0.3667570738093542,0.7928718075570874,0.309614317455433,0.7801564698109449,0.367076932584512,0.7632404265242775,0.11208695422488708,-0.1403491714423116,0.8002120684136584
6,45.580646,-92.040018,9.12728,25.474763,2.693727,0.954243,1.223538,0.041393,0.041393,1.415302,1.058288,0.259103,0.257629,2.043244,1.710075,1.347135,0.883377,0.930077,0.968799,1.083272,0.992926,0.777007,0.672787,0.814024,1.098402,0.98261,0.033583,0.173693,0.136523,1.03698,0.92569,0.539262,0.445485,0.44830580356607264,0.435338,0.317849,0.735569,0.619234,0.357607,0.003875,0.021477,0.016869,0.033458,2.236689,1.689032,2.360191,4.570225,0.0,0.569985,0.816302,0.48640587490768894,2.459655,1.01494,1.679246,0.760422,1.819548,0.013175,0.07616,1.281033,0.62941,0.8514041595028845,0.5675386871300125,-0.0969119760836458,-0.13071673929484742,0.48443459962455593,0.19387685443735275,0.6397972373749204,-0.1562547759875242,-0.31624115842780404,-0.5930432921078056,-0.904523849759523,0.7723618038452783,0.38327938018282837,0.7648709008676485,-0.5077286123366866,0.1510159117100891,-0.6374190522489069,-0.01764904295665532,0.11267588833060278,0.7083436943249071,0.7014304277088041,0.41371201450875134,0.367135427648649,0.438802296736914,0.3939611629757057,0.3353477805052276,0.01999309412822299,0.06016390041278186,0.04941266741828829,0.4003780692061242,0.6143216425943712,0.5415250971516674,0.3676406829523454,0.18146977078736162,0.20517969821673523,0.7332115839863973,0.7595853328359418,0.4130022524619765,-0.3952020531344325,-0.4467050222453296,-0.4018003129615151,-0.45182482159445103,0.5870792482963816,0.6745233052157107,0.5898714547803514,0.5148984864132476,-0.3416808223563633,0.3007144530334973,1.8362129525656887,0.6895337062083636,0.41108140015648686,0.7811759805955861,0.42384894378534876,0.8839853250487407,0.08700044903457567,0.30116789755609114,0.7637117932001505
7,41.292111,-93.590405,13.322807,48.737036,2.904174,1.826075,1.051886,0.041393,0.041393,1.4693,1.224983,0.362322,0.287021,1.691678,1.904819,1.392829,1.051558,0.904121,0.947076,1.066632,1.131751,0.731651,0.811366,1.510204,1.73777,1.505953,0.542623,0.643214,0.550488,1.025404,0.9305,0.48872,0.441366,0.5385781659032395,0.919557,0.714393,0.674096,0.532292,0.364609,0.18492,0.130054,0.104746,0.190757,2.821287,0.418353,2.790994,5.85487,0.243073,0.23783,0.110692,0.15354927247812203,2.356026,1.535447,1.04977,0.401279,1.427998,0.054119,0.088083,0.740363,1.955303,0.6642642759270734,0.5405415448565092,-0.09676429330728549,-0.1277882079537817,0.537655045165317,0.4526409111199757,0.5500391134834846,-0.1562547759875242,-0.31624115842780404,0.02843118208788419,0.06572386409070115,0.8105082147513695,0.42051909054626774,0.6332651782351897,0.3272271488901887,0.6374572344831462,0.16224341750178445,-0.1667111207787277,-0.04359151083645448,0.6921171625802917,0.8530175473078476,0.3843133848805381,0.45462029224120193,1.5558264424290307,1.2554518752924408,1.0758845507546047,0.3230417983842641,0.22279690626626905,0.199241742869397,0.39590857458797324,0.6232544613295282,0.4006924324301911,0.3640256414307104,1.3589143496276928,0.46115904139433544,0.5911495591844302,0.5236827040211625,0.43774422993070133,1.2161412051717992,0.08735394907516335,0.13722811660812792,0.20425693831276673,1.0797607125167343,-0.4634446828744733,1.048398811378091,0.9904049879998404,3.3294943289429226,0.12547508858120243,-0.4181962370189351,0.6602041850231486,0.7906364553170173,0.30964212999099605,0.2144640744763527,0.5341328429769494,0.35737209118043267,0.6667886791693671,0.5826902756554567
8,42.61823,-83.505888,2.932515,30.037332,2.675778,1.041393,1.152704,0.041393,0.041393,1.449563,1.172471,0.419618,0.338112,1.62154,1.834842,1.337809,1.007223,1.080424,1.093387,1.233255,1.12066,1.212772,1.05594,0.319233,0.467062,0.398858,1.208619,1.640649,1.519659,0.183223,0.150281,0.045864,0.471576,0.6624705166750248,0.106043,0.092864,0.064633,0.043294,0.023516,0.455673,0.733007,0.647722,0.90106,1.638915,2.975399,1.879468,0.0,0.0,1.037078,0.100003,0.5268431526820012,2.409933,1.061111,1.830215,0.428598,1.80078,0.0,0.047146,1.056905,0.686189,0.7221324652429285,0.7161448878983198,-0.09713003214527995,-0.13014234889403511,0.4798954340531241,0.21974340618114124,0.602757605167163,-0.1562547759875242,-0.31624115842780404,-0.19872615146521783,-0.23992206379977463,0.8316829670670809,0.48525146813807785,0.6070096183289547,0.02720404520857073,0.051734785606410476,-0.048559441301510256,0.8457750676272189,1.008916864596561,0.8545999389554755,0.8409069566831547,0.69616403496775,0.6090197558890782,-0.3550922335155321,-0.45671254342506457,-0.4906684664047611,0.7195317104534659,0.5682891253437395,0.5500201779642153,0.07074241641512245,-0.825717451503219,-0.8333028698509631,0.3905394565238379,-0.619255959903146,0.059946098604050674,-0.8172988298950234,-0.8031318813940515,-0.7675278810004244,3.625906850266594,3.0531059861972536,3.467786744849948,3.166874897151516,0.08329345088883415,1.8265408225710815,0.07821149316045738,-1.1767530602892151,-0.3416808223563633,0.5471448257815088,-0.452347368419383,0.6754611738827476,0.44474941317421157,0.8942652705636299,0.23039139380222695,0.8672159944817036,0.0,-0.5885512467639291,0.6886715825647219
9,35.990788,-96.871787,83.217745,177.657513,3.01157,2.20412,0.79125,0.041393,0.041861,1.461099,1.397001,0.315326,0.162817,2.480103,1.92093,1.394364,1.224806,1.034034,1.121903,1.05024,1.10157,0.752229,0.783602,0.478372,1.061594,1.180183,0.113356,0.359188,0.293679,1.454961,1.361735,0.813398,0.408347,0.5731096479756984,0.438202,0.426653,1.041047,0.861329,0.674373,0.013784,0.054031,0.042772,0.082526,2.632923,2.565144,2.89009,6.264763,0.005187,0.0,0.0,0.0,2.236237,1.543207,1.356672,0.285341,1.222745,0.029084,0.075618,0.537819,1.148911,0.4329291069199956,0.48340230368142656,-0.09430398772532357,-0.11155816640110783,0.5648146766606368,0.5648465399665679,0.4137505856564372,-0.1562547759875242,-0.3045965591661853,-0.06595587230077707,1.0669540824001156,0.7931400099931113,0.2631524266247711,0.9284053279268447,0.3963023053475182,0.6537982733603853,0.98599832179756,0.5793630707800184,1.2140506469768866,0.6761324685684085,0.8200620215983664,0.3976515319942468,0.437092890682902,-0.09975294551343816,0.3443657028667316,0.6149160011721327,0.06748465527197824,0.12441578567625806,0.1062931722474271,0.5617605700690578,1.4241160179314944,1.3053908598062243,0.3350465066885729,0.18843397763136957,0.2754154764786573,1.4391609147894375,1.416469772150819,1.5323134828044604,-0.3070096128761738,-0.28658127824459895,-0.24291398990608007,-0.24716605202104397,0.9210132461784941,1.4591332735725238,1.1538721412513964,1.1421253359985741,-0.26334063027501575,0.0,-0.7718548614906705,0.6263009917736169,0.7962950674548861,0.539539190114416,0.14687076769341004,0.35073794704365485,0.19205472939063367,0.284547377247914,0.5148765958700563
