@relation 'bigdata-change4-normalized - bigdata-change4-normalized-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,60-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R117-precision6-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-33,35-50,52-59-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute nani numeric
@attribute wetlands numeric
@attribute lat_dd numeric
@attribute lon_dd numeric
@attribute wsarea_km2 numeric
@attribute lake_area_ha numeric
@attribute ntl numeric
@attribute ptl numeric
@attribute snow_yrmean numeric
@attribute fire numeric
@attribute fire_yrmean numeric
@attribute lst numeric
@attribute lst_yrmean numeric
@attribute npp numeric
@attribute npp_yrmean numeric
@attribute precip numeric
@attribute precip_yrmean numeric
@attribute tmean numeric
@attribute tmean_yrmean numeric
@attribute atmo_pdep_2002 numeric
@attribute atmo_pdep_2007 numeric
@attribute tot_ndep_2000 numeric
@attribute tot_ndep_2007 numeric
@attribute tot_sdep_2000 numeric
@attribute tot_sdep_2007 numeric
@attribute n_cbnf_2007 numeric
@attribute n_crop_n_rem_2007 numeric
@attribute n_fert_farm_2007 numeric
@attribute n_fert_urban_2007 numeric
@attribute human_n_demand_2007 numeric
@attribute n_human_waste_2007 numeric
@attribute n_livestock_food_demand_2007 numeric
@attribute n_livestock.waste_2007 numeric
@attribute n_livestock_n_content_2007 numeric
@attribute n_rock_2007 numeric
@attribute p_crop_removal_2007 numeric
@attribute p_f_fertilizer_2007 numeric
@attribute p_livestock_demand_2007 numeric
@attribute p_livestock_waste_2007 numeric
@attribute p_livestock_production_2007 numeric
@attribute p_nf_fertilizer_2007 numeric
@attribute p_human_food_demand_kg_2007 numeric
@attribute p_human_nonfood_demand_kg_2007 numeric
@attribute p_human_waste_kg_2007 numeric
@attribute p_accumulated_ag_inputs_2007 numeric
@attribute napi numeric
@attribute 'total input' numeric
@attribute legacy numeric
@attribute damdensws numeric
@attribute pctwdwet2011ws numeric
@attribute pcthbwet2011ws numeric
@attribute runoffws numeric
@attribute clayws numeric
@attribute sandws numeric
@attribute omws numeric
@attribute bfiws numeric
@attribute agkffactws numeric
@attribute p2o5ws numeric
@attribute depth numeric
@attribute logchl_A {'\'(-inf-0.980205]\'','\'(0.980205-1.960411]\'','\'(1.960411-inf)\''}

@data
0.606724,0.749519,0.606758,0.871877,-0.093933,-0.129248,0.457055,0.3447,0.180487,-0.156255,1.061504,-0.566641,0.130593,0.904391,0.736677,0.467131,0.948976,-0.032834,0.498311,0.35894,0.380135,0.83345,0.924085,0.703259,0.683196,-0.442263,-0.4297,-0.272155,0.461562,0.522016,0.502094,0.101852,-0.696151,-0.765007,0.245608,-0.601945,0.102781,-0.73446,-0.733698,-0.720581,1.666413,2.516711,2.836044,2.673989,0.419093,1.497523,-0.236258,0.170189,0.216865,0.785619,-0.691757,0.771398,0.320855,0.935712,0.306959,0.880678,0.015274,-0.456568,0.45592,'\'(0.980205-1.960411]\''
0.436991,0.704026,0.949775,0.418906,-0.096985,-0.132311,0.718135,0.577132,0.747924,-0.156255,0.068528,-0.042189,-0.572045,0.807392,0.311884,0.697486,-0.910102,-0.351373,-1.057926,-0.792822,-0.341566,0.53453,0.545894,0.376399,0.334716,0.366247,1.089288,1.211513,0.054863,0.021547,0.017206,0.345135,0.409331,0.045011,0.196135,1.291701,0.552085,0.296716,0.196466,0.166922,-0.368617,-0.531086,-0.48454,-0.56298,0.659841,-0.059632,1.129085,0.168341,-0.341681,0.182091,3.630692,0.288131,0.534864,0.814503,0.175504,0.507276,0.163541,-0.133971,0.411966,'\'(0.980205-1.960411]\''
0.299701,0.205998,0.30273,0.302253,2.316187,-0.11202,0.479198,0.516548,0.661766,-0.135473,-0.257297,1.194073,0.578155,0.800977,0.349747,0.648305,-0.727229,0.001626,-0.161081,-0.48149,0.547459,0.348209,0.390574,0.154196,0.168757,-0.219829,-0.347889,-0.548765,0.020265,0.095631,0.080355,0.171548,-0.381262,-0.616701,0.269605,-0.584513,0.046364,-0.489722,-0.53497,-0.543956,-0.370388,-0.365192,-0.321219,-0.346672,-0.024718,-0.467045,-0.602783,0.100818,-0.322183,0.17838,-0.315788,0.482441,0.670917,0.735925,0.068354,0.729009,0.01598,0.257439,0.605858,'\'(0.980205-1.960411]\''
0.161939,0.204272,0.652837,0.415352,-0.095745,-0.053224,0.483765,0.161482,0.672696,-0.156255,-0.316241,0.475357,0.605488,0.851984,0.310177,0.740378,0.276009,-0.190815,-0.00183,-0.971851,-0.233151,0.546226,0.780837,0.23386,0.337548,-0.013379,0.406198,0.290254,0.008864,0.047747,0.038876,0.177066,-0.415707,-0.450567,0.322453,0.266156,0.219796,-0.448212,-0.505175,-0.50378,-0.404574,-0.471997,-0.426673,-0.484892,0.213377,-0.838104,-0.122708,0.030629,-0.341681,0.212752,-0.749298,0.317774,0.163148,0.892236,0.035154,0.854166,0.0146,-0.367762,0.608095,'\'(0.980205-1.960411]\''
0.474421,0.206214,0.885714,0.43743,-0.094005,-0.120917,0.776358,0.772626,0.72834,-0.156255,-0.316241,-0.394118,-0.456066,0.860243,0.3116,0.754754,-0.596239,-0.481515,-0.963972,-1.032071,-0.306735,0.506242,0.640451,0.333373,0.316607,0.722658,0.763595,0.791818,0.008703,0.009197,0.007273,0.395845,0.637116,0.339588,0.300259,0.656847,0.428346,0.546414,0.453136,0.432497,-0.412228,-0.538508,-0.491785,-0.572877,0.550252,0.656526,0.864859,0.304753,-0.341681,0,0.537834,0.383113,0.680561,0.650643,0.153775,0.566337,0.194432,-0.297845,0.348668,'\'(0.980205-1.960411]\''
0.527181,0.001821,0.582055,0.64113,-0.095341,-0.096635,0.506878,0.353296,0.544009,-0.156255,-0.316241,0.684675,0.154079,0.867137,0.398406,0.755085,0.631015,0.542775,0.490204,1.295218,1.617952,0.762917,0.814403,0.71387,0.648381,1.911337,1.608406,1.493748,0.050003,0.129715,0.11114,0.240504,-0.121288,-0.24213,0.329916,2.066594,0.699619,-0.064377,-0.096971,-0.285144,-0.286165,-0.270074,-0.226395,-0.226495,1.174982,-0.838104,1.561541,0.639779,-0.102084,0.00191,-0.771855,0.722111,0.708417,0.365231,0.088028,0.539999,0.653154,1.399564,0.721627,'\'(0.980205-1.960411]\''
0.463432,0.307615,0.728839,0.824043,-0.088727,0.398212,0.458753,0.178694,0.635981,-0.156255,-0.316241,-1.182338,-0.655756,0.848774,0.50584,0.75582,0.473043,-0.090289,-0.075267,1.277346,1.264967,0.759777,0.75832,0.732723,0.648686,0.76921,0.89563,0.277362,0.193617,0.290461,0.265904,0.52172,1.197007,1.226431,0.342506,0.932824,0.307164,1.027497,1.024369,0.877351,0.094818,0.462406,0.530178,0.628114,0.912195,0.75549,0.942967,0.805464,-0.273898,0.261493,0.159843,0.734126,0.639025,0.555813,0.249391,0.795178,0.327683,0.647286,0.90262,'\'(-inf-0.980205]\''
0.687475,0.051368,0.221625,0.468191,-0.097207,-0.133142,0.446587,0.241277,0,-0.156255,7.482928,1.078716,1.452056,0.773661,0.355271,0.379777,1.074693,1.563989,1.382518,0.314203,0.537352,0.644902,0.714242,0.431049,0.408132,-0.867303,-1.086036,-1.055057,0.698883,0.612486,0.595901,0,-1.10481,-0.961101,0.477411,-0.877114,0,-0.966664,-0.920603,-0.850623,2.945065,3.604799,4.125751,3.664457,-1.297934,2.015793,-0.211538,-1.176753,1.214385,0.053872,-0.771855,0.508174,0.830711,0.389001,0.205387,0.660997,0,1.611368,0.489625,'\'(-inf-0.980205]\''
0.535989,0.565732,0.264108,0.507491,-0.020848,1.065844,0.545451,0.372571,0.003479,-0.156255,0.295946,-0.024097,1.171898,0.814572,0.466877,0.89874,0.982191,1.063953,1.313336,0.691602,1.003795,0.695911,0.767043,0.538973,0.521198,-0.717839,0.341923,0.487341,0.085109,0.194246,0.171693,0.522707,1.254038,0.97613,0.292186,0.234404,0.316762,1.283418,1.242697,1.33001,-0.182691,-0.037424,0.009024,0.057274,0.844164,1.401086,1.088453,1.146113,-0.118728,0.588646,-0.441762,0.650895,0.705028,0.762354,0.097855,0.465399,0.291905,-0.444364,0.692449,'\'(0.980205-1.960411]\''
0.405544,0.029565,0.398479,0.75376,-0.096993,-0.132478,0.382906,0.219743,0.017902,-0.156255,-0.135625,0.279171,0.761203,0.829869,0.590833,0.729988,0.583398,0.789764,1.004742,0.485995,0.636135,0.732607,0.7265,0.578956,0.483725,-0.699652,-0.63368,-0.365641,0.153126,0.233775,0.209937,0.189737,-0.328477,-0.485,0.133699,-0.70128,0.101105,-0.160488,-0.229045,-0.296974,0.407653,0.142808,0.194623,0.268539,0.307206,0.446071,-0.179103,0.781995,1.34252,0.031007,-0.771855,0.781712,0.866772,0.430463,0.041347,0.775542,0.040671,-0.230045,0.619819,'\'(-inf-0.980205]\''
0.618534,0.481386,0.553596,0.860515,-0.096573,-0.124721,0.643741,0.621338,0,-0.156255,-0.316241,-0.018538,0.46182,0.808437,0.52583,0.703852,0.776771,0.899797,0.811731,0.564535,0.569235,0.823124,0.929104,0.685664,0.682649,1.213448,1.242131,1.214501,0.551397,0.405864,0.382582,0.54498,1.130858,1.918886,0.242156,1.546637,0.450838,2.938911,3.083924,3.75171,0.937528,1.350568,1.499861,1.554847,1.321978,2.733437,2.579399,1.50216,-0.341681,0.494456,-0.303193,0.7403,0.534864,0.918397,0.125085,0.879153,0.266918,0.38749,0.367256,'\'(1.960411-inf)\''
0.422505,0.017127,0.598125,0.75077,-0.096805,-0.130871,0.46894,0.361355,0.4826,-0.156255,-0.316241,-0.411106,-0.01241,0.894643,0.582301,0.768567,0.657687,0.078732,0.275854,1.029662,1.231869,0.866704,0.889259,0.922577,0.884009,0.301421,0.554609,-0.212907,0.044223,0.14458,0.124848,0.496496,1.127019,0.832701,0.359943,0.435158,0.223483,1.04179,0.98858,1.001799,-0.317289,-0.224276,-0.180434,-0.169541,0.926137,0.827534,0.781632,1.075263,0.658603,0.017962,-0.771855,0.759446,0.763858,0.424607,0.122876,0.611726,0.274704,0.550169,0.564403,'\'(-inf-0.980205]\''
0.234395,0.604463,0.926916,0.058046,-0.097039,-0.132015,0.542215,0.454551,0.891289,-0.156255,-0.316241,-1.42646,-2.01472,1,0.680798,0.230969,1.466674,-0.777102,-0.620492,-0.296563,-0.483367,0.289442,0.218297,0.354552,0.179523,-0.867303,-1.086036,-1.055057,0.017204,0.116537,0.099127,0,-1.10481,-0.961101,0.309889,-0.877114,0,-0.966664,-0.920603,-0.850623,-0.386204,-0.309207,-0.265511,-0.27562,-1.297934,-0.637355,-0.975625,-1.176753,-0.341681,0.610771,0.515722,0.76718,0.494952,0.733576,0.124333,0.859721,0,0.454923,0.403151,'\'(-inf-0.980205]\''
0.140621,0,0.497799,0.632187,-0.09719,-0.13241,0.372941,0.193877,0,-0.156255,-0.316241,-0.33511,0.336039,0.729204,0.431251,0.762708,1.191753,0.738782,0.713236,0.759885,1.384346,0.754382,0.806291,0.673282,0.609372,-0.867303,-1.086036,-1.055057,0,0,0,0,-1.10481,-0.961101,0.510092,-0.877114,0,-0.966664,-0.920603,-0.850623,-0.42969,-0.552344,-0.505273,-0.591376,-1.297934,-0.838104,-0.984115,-1.176753,2.972621,0,-0.771855,0.725459,0.675187,0.456801,0.079778,0.28228,0,1.443077,0.568832,'\'(-inf-0.980205]\''
0.431694,0.421213,0.681932,0.892748,-0.095922,-0.104093,0.405149,0.259722,0.566149,-0.156255,-0.316241,-1.050074,-0.49642,0.906101,0.686,0.834087,0.895122,-0.029151,-0.060228,-0.075353,-0.21275,0.806596,0.78234,0.682536,0.631914,-0.480635,-0.008873,-0.100531,0.211531,0.282112,0.257591,0.274208,0.060869,-0.192088,0.399418,-0.228042,0.081323,-0.165334,-0.225026,-0.315165,0.42006,0.410695,0.475347,0.571094,0.547514,0.25767,-0.21457,0.584912,-0.167934,0.413692,0.037884,0.792872,0.303015,0.782987,0.34419,0.77142,0.070485,-0.509926,0.7038,'\'(-inf-0.980205]\''
0.374161,0.386079,0.817234,0.918767,-0.096323,-0.106146,0.359928,0.118111,0.817996,-0.156255,-0.316241,-1.633994,-1.923833,0.980185,0.702684,0.818862,0.769053,-0.912685,-1.387266,-0.179581,-0.438695,0.59437,0.621848,0.522544,0.473877,-0.867303,-1.086036,-1.055057,0.131861,0.228651,0.204938,0.168008,-0.426199,-0.550448,0.16975,-0.877114,0.01676,-0.571518,-0.588754,-0.626553,-0.312572,-0.311529,-0.267824,-0.278548,-0.115781,-0.305655,-0.700129,0.239503,-0.341681,0.400389,-0.621841,0.784914,0.276872,0.798768,0.177301,0.767659,0.013253,-0.493612,0.701483,'\'(-inf-0.980205]\''
